Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2010-01-04,157.4573516845703,158.13053120597203,154.11786887380754,155.78761027918893,238700
2010-01-05,158.13710021972656,158.1766972311706,156.25616161252964,157.767514685648,198800
2010-01-06,154.87680053710938,157.50350616306181,154.4742141664864,157.41110978638358,278500
2010-01-07,156.57955932617188,156.87654699257394,154.43463385595035,154.87022113758047,218300
2010-01-08,157.68174743652344,158.00513988172582,156.24959815711736,156.71818638829203,224400
2010-01-11,160.24908447265625,160.90246561633901,158.3615490169159,158.3615490169159,207900
2010-01-12,157.384765625,160.4998588529426,157.384765625,159.21290531120746,208100
2010-01-13,158.01170349121094,158.3614905207216,154.57982485857872,154.57982485857872,203400
2010-01-14,157.0085906982422,158.5859359927597,156.41461517512587,157.84676466257866,163900
2010-01-15,157.13397216796875,157.53655867056753,155.86022098116877,156.97558408199748,197000
2010-01-19,158.40109252929688,158.96207706550382,154.58642588035218,156.8699509675529,187600
2010-01-20,157.24612426757812,157.9919015374614,155.3123963945769,157.73451089739243,203000
2010-01-21,151.95310974121094,158.40768406506157,151.71551761583515,158.40768406506157,354700
2010-01-22,148.49484252929688,155.54339288753766,146.91749771591483,151.4581432344661,282600
2010-01-25,149.45843505859375,150.66618442342812,147.74249038026815,148.78525552227185,195600
2010-01-26,148.30348205566406,151.062181936684,147.50490520721186,148.1978832860343,203100
2010-01-27,149.6630401611328,152.54054130394533,144.23802649247958,150.71240154619443,560200
2010-01-28,144.95736694335938,150.77176346685238,142.38346033299453,149.81479870507317,632900
2010-01-29,141.11630249023438,148.3694440726644,140.35072666914766,148.3694440726644,483100
2010-02-01,142.93125915527344,144.6867907569131,141.90829253759867,142.06008446550064,426400
2010-02-02,142.5550537109375,142.80584823167712,138.12660293549266,140.47612987250022,716700
2010-02-03,145.61741638183594,146.44238815024067,141.9281450504395,142.42972426026535,601700
2010-02-04,139.42019653320312,143.6242484676591,138.9252135869314,143.07646613199728,540500
2010-02-05,137.79664611816406,140.24516615593313,132.36503614982837,138.8856146270588,884900
2010-02-08,135.07090759277344,138.5687880268386,135.03790672566467,138.19919241385128,356400
2010-02-09,137.85604858398438,138.17943098525143,135.3943262375179,136.5294878915919,564800
2010-02-10,139.34097290039062,140.5157313711556,137.36104153566964,137.36104153566964,619400
2010-02-11,136.81321716308594,139.42012397600314,136.02784301912095,139.10333787497854,437100
2010-02-12,136.72088623046875,136.72088623046875,133.85658745143795,135.54612755942932,396400
2010-02-16,138.8657684326172,138.8657684326172,136.6152443574535,137.47321650518938,277100
2010-02-17,140.634521484375,141.0239055666067,138.56219373922727,138.8591814278709,372500
2010-02-18,141.0569305419922,142.05350260433866,139.42678597832736,141.4991140776184,350900
2010-02-19,142.23167419433594,142.680463899986,140.97112547167612,141.4001065977006,294800
2010-02-22,143.36683654785156,144.73299411145226,142.58146211124466,143.5582355649074,374900
2010-02-23,141.809326171875,144.67363544766573,141.74333448091647,143.58466680707383,276000
2010-02-24,144.11264038085938,144.52182307508627,142.8850822277245,143.3800651915619,280500
2010-02-25,144.07305908203125,144.6142352782654,141.62453865596882,142.88509782505292,359100
2010-02-26,144.4029998779297,145.0959778872533,143.54502758402674,143.54502758402674,302500
2010-03-01,143.875,145.06955687496642,142.79263801749696,143.8156044811284,389700
2010-03-02,142.82565307617188,145.40616607058467,142.82565307617188,145.12237066813722,568200
2010-03-03,142.60791015625,144.68023867834884,141.6245402575974,143.98066428312103,500900
2010-03-04,143.1117706298828,144.48427998131004,140.75132973527292,144.48427998131004,300600
2010-03-05,145.75730895996094,145.79046326193654,142.8598030547436,143.8808887815937,557200
2010-03-08,144.62356567382812,145.75737859250523,143.5096534396615,145.75737859250523,293900
2010-03-09,143.86099243164062,145.12741184830284,143.12501147341374,143.87425617535135,323100
2010-03-10,143.01893615722656,145.12742645953713,142.81339363674127,144.41133598614522,502000
2010-03-11,139.51141357421875,142.85979555246462,139.00749249210696,142.08402337261063,730900
2010-03-12,139.23959350585938,141.71938800384913,138.14557217522304,140.55242112607783,601600
2010-03-15,140.678466796875,141.36804029368372,138.34454207404994,138.5898759706448,384800
2010-03-16,140.7977752685547,141.56690068334373,139.6308082220356,141.56690068334373,290400
